이름,전화번호,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
최예준,010-5479-6150,46,management,married,unknown,no,2466,no,no,telephone,1,apr,216,3,370,1,failure,yes
홍서연,010-9945-4336,40,unemployed,divorced,secondary,no,262,yes,no,unknown,14,may,163,5,-1,0,unknown,no
박지호,010-0312-4482,52,management,married,tertiary,no,2428,yes,no,cellular,21,nov,294,1,116,3,failure,no
서예준,010-7547-5085,26,technician,single,tertiary,no,515,no,no,cellular,31,may,775,1,-1,0,unknown,yes
조서윤,010-7543-6357,46,blue-collar,single,tertiary,no,460,yes,no,unknown,7,may,1102,2,-1,0,unknown,yes
한유진,010-8882-9208,45,blue-collar,single,secondary,no,0,yes,no,cellular,26,apr,1472,1,192,4,failure,yes
오하은,010-4966-5363,34,services,married,secondary,no,-451,yes,yes,cellular,23,jul,498,1,-1,0,unknown,no
권시우,010-1088-5600,39,management,married,tertiary,no,141,yes,no,cellular,13,may,788,2,331,6,other,no
정서준,010-8953-2476,38,technician,single,tertiary,no,508,yes,yes,cellular,12,aug,1103,2,-1,0,unknown,yes
오하은,010-8768-1108,37,blue-collar,married,primary,no,1322,yes,no,cellular,21,nov,14,8,185,1,other,no
신유진,010-0769-0513,29,technician,single,secondary,no,309,yes,no,unknown,13,may,214,1,-1,0,unknown,no
신하은,010-3189-1947,36,management,single,tertiary,no,490,no,no,cellular,28,aug,207,8,98,1,failure,yes
권소율,010-9096-5178,30,technician,single,tertiary,no,2325,no,no,cellular,10,aug,263,1,127,7,failure,yes
권지아,010-3030-1720,39,housemaid,married,tertiary,no,2990,no,no,telephone,30,apr,127,4,-1,0,unknown,no
윤은서,010-9621-0918,53,management,married,secondary,no,2693,no,no,cellular,5,mar,90,1,104,1,failure,yes
조예서,010-2857-8447,64,management,married,unknown,no,2352,no,no,cellular,3,nov,181,4,183,7,success,yes
서서연,010-2946-9341,45,management,married,tertiary,no,1529,no,no,cellular,30,jun,160,1,-1,0,unknown,no
권윤서,010-0653-1232,59,self-employed,married,tertiary,no,2013,no,no,cellular,19,feb,222,4,94,2,success,yes
강수아,010-2573-7862,52,management,married,secondary,no,0,yes,yes,unknown,27,may,62,13,-1,0,unknown,no
장은서,010-8563-9958,43,admin.,single,secondary,no,386,no,no,cellular,12,oct,242,1,92,4,success,no
박하윤,010-6320-3729,27,services,married,secondary,no,221,no,yes,cellular,7,jul,554,1,-1,0,unknown,no
오예은,010-5356-4926,35,blue-collar,married,unknown,no,4822,yes,no,unknown,20,may,843,2,-1,0,unknown,yes
윤서윤,010-5827-3410,56,blue-collar,married,primary,no,8163,no,no,cellular,14,aug,1231,4,-1,0,unknown,yes
오지민,010-1626-9684,60,retired,married,secondary,no,0,no,no,cellular,5,aug,143,3,-1,0,unknown,no
김민서,010-4481-4190,35,technician,married,secondary,no,294,yes,no,cellular,15,jun,238,6,98,5,success,no
임서윤,010-2040-0341,45,technician,married,secondary,no,1348,no,yes,cellular,1,apr,358,2,-1,0,unknown,yes
권예준,010-6974-1547,36,blue-collar,married,secondary,no,3463,yes,no,telephone,21,nov,29,4,-1,0,unknown,no
김은서,010-4559-0249,63,blue-collar,married,secondary,no,641,no,no,cellular,27,may,417,2,-1,0,unknown,yes
오예서,010-0608-0060,42,technician,married,secondary,no,3082,no,no,cellular,11,sep,285,1,-1,0,unknown,yes
송주원,010-1773-9233,51,admin.,married,tertiary,no,0,yes,yes,cellular,8,mar,124,2,-1,0,unknown,yes
송수아,010-1610-9439,36,management,married,tertiary,no,0,yes,no,unknown,27,may,145,2,-1,0,unknown,no
김지호,010-4299-9062,21,student,single,tertiary,no,1258,no,no,cellular,7,jul,404,1,-1,0,unknown,no
안서준,010-8411-0113,50,services,single,secondary,no,1716,yes,no,cellular,7,apr,272,1,-1,0,unknown,no
이예준,010-6010-8114,30,management,single,secondary,no,1299,no,no,cellular,14,aug,515,2,-1,0,unknown,no
신예준,010-1089-0116,42,admin.,divorced,secondary,no,241,yes,no,cellular,15,may,1012,3,-1,0,unknown,yes
정지아,010-6662-9738,63,self-employed,married,tertiary,no,-39,no,no,cellular,1,apr,387,2,-1,0,unknown,yes
윤서연,010-5610-4956,38,management,single,tertiary,no,8669,yes,no,telephone,20,apr,5,3,150,6,failure,no
류지원,010-3389-4590,39,housemaid,married,tertiary,no,94,no,no,cellular,6,aug,181,2,-1,0,unknown,no
